FID	IID	Project	Region	Population	Genetic_Region
HGDP00001	HGDP00001	HGDP	Central_South_Asia	Brahui	CSA
HGDP00003	HGDP00003	HGDP	Central_South_Asia	Brahui	CSA
HGDP00005	HGDP00005	HGDP	Central_South_Asia	Brahui	CSA
HGDP00007	HGDP00007	HGDP	Central_South_Asia	Brahui	CSA
HGDP00009	HGDP00009	HGDP	Central_South_Asia	Brahui	CSA
HGDP00011	HGDP00011	HGDP	Central_South_Asia	Brahui	CSA
HGDP00013	HGDP00013	HGDP	Central_South_Asia	Brahui	CSA
HGDP00015	HGDP00015	HGDP	Central_South_Asia	Brahui	CSA
HGDP00017	HGDP00017	HGDP	Central_South_Asia	Brahui	CSA
HGDP00021	HGDP00021	HGDP	Central_South_Asia	Brahui	CSA
HGDP00023	HGDP00023	HGDP	Central_South_Asia	Brahui	CSA
HGDP00025	HGDP00025	HGDP	Central_South_Asia	Brahui	CSA
HGDP00029	HGDP00029	HGDP	Central_South_Asia	Brahui	CSA
HGDP00031	HGDP00031	HGDP	Central_South_Asia	Brahui	CSA
HGDP00033	HGDP00033	HGDP	Central_South_Asia	Brahui	CSA
HGDP00035	HGDP00035	HGDP	Central_South_Asia	Brahui	CSA
HGDP00037	HGDP00037	HGDP	Central_South_Asia	Brahui	CSA
HGDP00039	HGDP00039	HGDP	Central_South_Asia	Brahui	CSA
HGDP00041	HGDP00041	HGDP	Central_South_Asia	Brahui	CSA
HGDP00043	HGDP00043	HGDP	Central_South_Asia	Brahui	CSA
HGDP00045	HGDP00045	HGDP	Central_South_Asia	Brahui	CSA
HGDP00047	HGDP00047	HGDP	Central_South_Asia	Brahui	CSA
HGDP00049	HGDP00049	HGDP	Central_South_Asia	Brahui	CSA
HGDP00052	HGDP00052	HGDP	Central_South_Asia	Balochi	CSA
HGDP00054	HGDP00054	HGDP	Central_South_Asia	Balochi	CSA
HGDP00056	HGDP00056	HGDP	Central_South_Asia	Balochi	CSA
HGDP00057	HGDP00057	HGDP	Central_South_Asia	Balochi	CSA
HGDP00060	HGDP00060	HGDP	Central_South_Asia	Balochi	CSA
HGDP00062	HGDP00062	HGDP	Central_South_Asia	Balochi	CSA
HGDP00064	HGDP00064	HGDP	Central_South_Asia	Balochi	CSA
HGDP00066	HGDP00066	HGDP	Central_South_Asia	Balochi	CSA
HGDP00068	HGDP00068	HGDP	Central_South_Asia	Balochi	CSA
HGDP00070	HGDP00070	HGDP	Central_South_Asia	Balochi	CSA
HGDP00072	HGDP00072	HGDP	Central_South_Asia	Balochi	CSA
HGDP00074	HGDP00074	HGDP	Central_South_Asia	Balochi	CSA
HGDP00076	HGDP00076	HGDP	Central_South_Asia	Balochi	CSA
HGDP00078	HGDP00078	HGDP	Central_South_Asia	Balochi	CSA
HGDP00080	HGDP00080	HGDP	Central_South_Asia	Balochi	CSA
HGDP00082	HGDP00082	HGDP	Central_South_Asia	Balochi	CSA
HGDP00086	HGDP00086	HGDP	Central_South_Asia	Balochi	CSA
HGDP00088	HGDP00088	HGDP	Central_South_Asia	Balochi	CSA
HGDP00092	HGDP00092	HGDP	Central_South_Asia	Balochi	CSA
HGDP00094	HGDP00094	HGDP	Central_South_Asia	Balochi	CSA
HGDP00096	HGDP00096	HGDP	Central_South_Asia	Balochi	CSA
HGDP00098	HGDP00098	HGDP	Central_South_Asia	Balochi	CSA
HGDP00099	HGDP00099	HGDP	Central_South_Asia	Hazara	CSA
HGDP00100	HGDP00100	HGDP	Central_South_Asia	Hazara	CSA
HGDP00102	HGDP00102	HGDP	Central_South_Asia	Hazara	CSA
HGDP00103	HGDP00103	HGDP	Central_South_Asia	Hazara	CSA
HGDP00104	HGDP00104	HGDP	Central_South_Asia	Hazara	CSA
HGDP00105	HGDP00105	HGDP	Central_South_Asia	Hazara	CSA
HGDP00106	HGDP00106	HGDP	Central_South_Asia	Hazara	CSA
HGDP00108	HGDP00108	HGDP	Central_South_Asia	Hazara	CSA
HGDP00109	HGDP00109	HGDP	Central_South_Asia	Hazara	CSA
HGDP00110	HGDP00110	HGDP	Central_South_Asia	Hazara	CSA
HGDP00115	HGDP00115	HGDP	Central_South_Asia	Hazara	CSA
HGDP00118	HGDP00118	HGDP	Central_South_Asia	Hazara	CSA
HGDP00120	HGDP00120	HGDP	Central_South_Asia	Hazara	CSA
HGDP00121	HGDP00121	HGDP	Central_South_Asia	Hazara	CSA
HGDP00122	HGDP00122	HGDP	Central_South_Asia	Hazara	CSA
HGDP00127	HGDP00127	HGDP	Central_South_Asia	Hazara	CSA
HGDP00129	HGDP00129	HGDP	Central_South_Asia	Hazara	CSA
HGDP00130	HGDP00130	HGDP	Central_South_Asia	Makrani	CSA
HGDP00131	HGDP00131	HGDP	Central_South_Asia	Makrani	CSA
