#Sample	Panel
HG01500 ibs
HG01501 ibs
HG01502 ibs
HG01503 ibs
HG01504 ibs
HG01505 ibs
HG01506 ibs
HG01507 ibs
HG01508 ibs
HG01509 ibs
HG01510 ibs
HG01511 ibs
HG01512 ibs
HG01513 ibs
HG01514 ibs
HG01515 ibs
HG01516 ibs
HG01517 ibs
HG01518 ibs
HG01519 ibs
HG01520 ibs
HG01521 ibs
HG01522 ibs
HG01523 ibs
HG01524 ibs
HG01525 ibs
HG01526 ibs
HG01527 ibs
HG01528 ibs
HG01529 ibs
HG01530 ibs
HG01531 ibs
HG01532 ibs
HG01536 ibs
HG01537 ibs
HG01538 ibs
HG01601 ibs
HG01602 ibs
HG01603 ibs
HG01604 ibs
HG01605 ibs
HG01606 ibs
HG01607 ibs
HG01608 ibs
HG01609 ibs
HG01610 ibs
HG01611 ibs
HG01612 ibs
HG01613 ibs
HG01614 ibs
HG01615 ibs
HG01616 ibs
HG01617 ibs
HG01618 ibs
HG01619 ibs
HG01620 ibs
HG01621 ibs
HG01622 ibs
HG01623 ibs
HG01624 ibs
HG01625 ibs
HG01626 ibs
HG01627 ibs
HG01628 ibs
HG01629 ibs
HG01630 ibs
HG01631 ibs
HG01632 ibs
HG01633 ibs
HG01667 ibs
HG01668 ibs
HG01669 ibs
HG01670 ibs
HG01671 ibs
HG01672 ibs
HG01673 ibs
HG01674 ibs
HG01675 ibs
HG01676 ibs
HG01677 ibs
HG01678 ibs
HG01679 ibs
HG01680 ibs
HG01681 ibs
HG01682 ibs
HG01683 ibs
HG01684 ibs
HG01685 ibs
HG01686 ibs
HG01687 ibs
HG01694 ibs
HG01695 ibs
HG01696 ibs
HG01697 ibs
HG01698 ibs
HG01699 ibs
HG01700 ibs
HG01701 ibs
HG01702 ibs
HG01703 ibs
HG01704 ibs
HG01705 ibs
HG01706 ibs
HG01707 ibs
HG01708 ibs
HG01709 ibs
HG01710 ibs
HG01711 ibs
HG01746 ibs
HG01747 ibs
HG01748 ibs
HG01755 ibs
HG01756 ibs
HG01757 ibs
HG01761 ibs
